角色名不能为空！,角色名不能为空！
角色已存在！,角色已存在！
角色创建成功！,角色创建成功！
角色创建失败！,角色创建失败！
角色已不存在！,角色已不存在！
删除成功！,删除成功！
仅允许超管分配权限！,仅允许超管分配权限！
角色ID不存在！,角色ID不存在！
权限分配成功！,权限分配成功！
权限缓存清理成功！,权限缓存清理成功！
权限分配失败！,权限分配失败！
搜索成功,搜索成功
加载IP白名单失败：%{1},加载IP白名单失败：%{1}
IP地址不能为空,IP地址不能为空
IP地址格式不正确,IP地址格式不正确
该IP地址已存在,该IP地址已存在
添加成功,添加成功
添加失败,添加失败
添加失败：%{1},添加失败：%{1}
记录不存在,记录不存在
该IP地址已被其他记录使用,该IP地址已被其他记录使用
更新成功,更新成功
更新失败,更新失败
更新失败：%{1},更新失败：%{1}
无效的请求方法,无效的请求方法
无效的ID,无效的ID
删除成功,删除成功
删除失败,删除失败
删除失败：%{1},删除失败：%{1}
状态更新成功,状态更新成功
状态更新失败,状态更新失败
状态更新失败：%{1},状态更新失败：%{1}
登录失败,登录失败
登录成功,登录成功
权限拒绝,权限拒绝
ACL违规,ACL违规
可疑活动,可疑活动
加载安全日志失败：%{1},加载安全日志失败：%{1}
无权限访问重定向前,无权限访问重定向前
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。
角色检查,角色检查
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。
不能删除超级管理员！,不能删除超级管理员！
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}"
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}"
(空),(空)
"【ACL 重复检测】模块: %{1}","【ACL 重复检测】模块: %{1}"
"发现以下重复的 source_id：","发现以下重复的 source_id："
"... 已省略更多重复（共 %{1} 个 source_id）","... 已省略更多重复（共 %{1} 个 source_id）"
"重复的 source_id: %{1}","重复的 source_id: %{1}"
首次出现:,首次出现:
"- 类: %{1}","- 类: %{1}"
"- 方法: %{1}","- 方法: %{1}"
"- 路由: %{1}","- 路由: %{1}"
"- 路由器: %{1}","- 路由器: %{1}"
"重复出现 (%{1} 次):","重复出现 (%{1} 次):"
"- 索引 #%{1}:","- 索引 #%{1}:"
"类: %{1}","类: %{1}"
"方法: %{1}","方法: %{1}"
"路由: %{1}","路由: %{1}"
"路由器: %{1}","路由器: %{1}"
"... 已省略 %{1} 条","... 已省略 %{1} 条"
"路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。","路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。"
"【ACL 重复检测】模块: %{1} (方法级别权限)","【ACL 重复检测】模块: %{1} (方法级别权限)"
请先登录,请先登录
用户已被禁用,用户已被禁用
"应用没有任何授权 scope","应用没有任何授权 scope"
应用无权进行该操作,应用无权进行该操作
用户不存在或已被删除,用户不存在或已被删除
用户没有分配角色,用户没有分配角色
你没有任何权限！请联系管理员！,你没有任何权限！请联系管理员！
"你无权进行该操作！你不具备：%{1} 操作权限！","你无权进行该操作！你不具备：%{1} 操作权限！"
你无权进行该操作,你无权进行该操作
"你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！","你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！"
你无权进行该操作！已将你带到你可访问的后台页面：%{1},你无权进行该操作！已将你带到你可访问的后台页面：%{1}
"超级管理员已拥有全部 ACL 权限，无需追加。","超级管理员已拥有全部 ACL 权限，无需追加。"
"已为超级管理员（role_id=1）授予 %{1} 条新权限。","已为超级管理员（role_id=1）授予 %{1} 条新权限。"
为超级管理员授予权限时出错：%{1},为超级管理员授予权限时出错：%{1}
"资源不能以自己为父级： %{1}","资源不能以自己为父级： %{1}"
"检测到循环引用： %{1} -> %{2}","检测到循环引用： %{1} -> %{2}"
"设置此父级会形成循环引用： %{1} -> %{2}","设置此父级会形成循环引用： %{1} -> %{2}"
"非标准父子类型组合： %{1} -> %{2}","非标准父子类型组合： %{1} -> %{2}"
"资源 ID 不能为空","资源 ID 不能为空"
"资源 ID 已存在： %{1}","资源 ID 已存在： %{1}"
"该菜单下有 %{1} 个子菜单，请先删除子菜单","该菜单下有 %{1} 个子菜单，请先删除子菜单"
acl标签缺少source属性,acl标签缺少source属性
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！"
使用示例：,使用示例：
Acl权限管理,Acl权限管理
系统配置,系统配置
支持角色权限管理,支持角色权限管理
权限管理,权限管理
"ACL 权限管理","ACL 权限管理"
管理系统中所有的访问控制权限，包括菜单、接口等资源,管理系统中所有的访问控制权限，包括菜单、接口等资源
角色管理,角色管理
安全日志,安全日志
IP白名单,IP白名单
权限总数,权限总数
涉及模块,涉及模块
菜单权限,菜单权限
接口权限,接口权限
搜索,搜索
权限列表,权限列表
共,共
条记录,条记录
暂无权限数据,暂无权限数据
ID,ID
资源标识,资源标识
资源名称,资源名称
类型,类型
请求方法,请求方法
路由,路由
所属模块,所属模块
更新时间,更新时间
搜索权限名称、ID、路由...,搜索权限名称、ID、路由...
所有类型,所有类型
菜单,菜单
接口,接口
所有模块,所有模块
其他,其他
权限分配,权限分配
角色权限配置,角色权限配置
为角色分配系统访问权限，控制菜单和功能的可见性,为角色分配系统访问权限，控制菜单和功能的可见性
操作者,操作者
配置角色,配置角色
已授权权限,已授权权限
权限分组,权限分组
授权进度,授权进度
展开,展开
折叠,折叠
全选,全选
清空,清空
勾选需要授予的权限，子权限会自动关联父权限,勾选需要授予的权限，子权限会自动关联父权限
返回列表,返回列表
保存权限配置,保存权限配置
"搜索权限名称、ID 或描述...","搜索权限名称、ID 或描述..."
按模块筛选,按模块筛选
按类型筛选,按类型筛选
展开所有,展开所有
折叠所有,折叠所有
访问权限,访问权限
未知,未知
保存中...,保存中...
找到,找到
个匹配权限,个匹配权限
未找到匹配的权限，请尝试其他关键词,未找到匹配的权限，请尝试其他关键词
已全选所有权限,已全选所有权限
已清空所有选择,已清空所有选择
筛选结果,筛选结果
个分组,个分组
Acl角色管理,Acl角色管理
Acl角色添加,Acl角色添加
角色名,角色名
角色名称验证成功,角色名称验证成功
请输入角色名称,请输入角色名称
角色描述,角色描述
角色描述验证成功,角色描述验证成功
请输入角色描述,请输入角色描述
提交,提交
请输入角色名,请输入角色名
添加,添加
编辑,编辑
暂无记录,暂无记录
添加角色,添加角色
取消,取消
删除,删除
正在创建...,正在创建...
正在创建角色...,正在创建角色...
角色创建失败，请检查输入后重试,角色创建失败，请检查输入后重试
添加IP,添加IP
关键词,关键词
重置,重置
IP白名单列表,IP白名单列表
IP地址,IP地址
描述,描述
状态,状态
创建时间,创建时间
操作,操作
显示,显示
到,到
上一页,上一页
下一页,下一页
暂无IP白名单记录,暂无IP白名单记录
添加IP白名单,添加IP白名单
支持单个IP或CIDR格式的IP范围,支持单个IP或CIDR格式的IP范围
启用,启用
保存,保存
搜索IP地址或描述,搜索IP地址或描述
禁用,禁用
"例如：192.168.1.1 或 192.168.1.0/24","例如：192.168.1.1 或 192.168.1.0/24"
编辑ID：,编辑ID：
操作失败,操作失败
确定要切换状态吗？,确定要切换状态吗？
确定要删除这条记录吗？,确定要删除这条记录吗？
事件类型,事件类型
全部,全部
日志列表,日志列表
用户ID,用户ID
消息,消息
查看详情,查看详情
暂无安全日志记录,暂无安全日志记录
搜索消息或IP地址,搜索消息或IP地址
查看日志ID：,查看日志ID：
